iter	RMSE
0	14.09688153
1	13.20860739
2	12.37339693
3	11.63339065
4	10.99357866
5	10.43121181
6	9.902838911
7	9.371520219
8	8.985811583
9	8.565412673
10	8.1989698
11	7.848819532
12	7.548882641
13	7.308332774
14	7.079106258
15	6.871597105
16	6.674605068
17	6.522289943
18	6.400679682
19	6.269999876
20	6.164941378
21	6.047490807
22	5.937315571
23	5.836659124
24	5.748219388
25	5.675730426
26	5.613330209
27	5.54781894
28	5.489774628
29	5.431681096
30	5.379646643
31	5.321518442
32	5.269170957
33	5.225878831
34	5.187812511
35	5.150951085
36	5.120193977
37	5.088475966
38	5.053361377
39	5.029976116
40	5.003031745
41	4.974022359
42	4.954807098
43	4.932457161
44	4.913555818
45	4.89957749
46	4.879039654
47	4.861967624
48	4.843477095
49	4.824118859
50	4.81495692
51	4.792785266
52	4.776799334
53	4.766919891
54	4.748793145
55	4.738054373
56	4.725405267
57	4.708336636
58	4.696546953
59	4.674446397
60	4.652141347
61	4.638214069
62	4.625542283
63	4.604699062
64	4.584188864
65	4.564534009
66	4.549903829
67	4.530149955
68	4.513291782
69	4.497467337
70	4.48241474
71	4.475274037
72	4.457800452
73	4.44168104
74	4.437956096
75	4.426666365
76	4.416221003
77	4.408356974
78	4.395693372
79	4.382110521
80	4.373948847
81	4.363811676
82	4.354490102
83	4.343717717
84	4.331997223
85	4.321204119
86	4.307376944
87	4.290519317
88	4.282935005
89	4.266678272
90	4.26321046
91	4.256196666
92	4.244549943
93	4.237200351
94	4.228645971
95	4.21587139
96	4.212456611
97	4.208739698
98	4.197056254
99	4.184482459
