iter	Passed	Remaining
0	4	422
1	7	355
2	10	327
3	14	344
4	17	327
5	19	310
6	22	294
7	24	284
8	26	272
9	29	266
10	31	258
11	34	255
12	37	253
13	39	245
14	41	236
15	43	227
16	46	224
17	49	224
18	50	217
19	53	215
20	56	212
21	58	207
22	60	203
23	63	201
24	66	200
25	70	200
26	72	196
27	74	191
28	77	189
29	80	187
30	83	185
31	85	182
32	87	177
33	88	171
34	91	169
35	93	166
36	96	163
37	98	161
38	102	159
39	105	158
40	108	155
41	111	153
42	114	151
43	115	147
44	117	143
45	120	141
46	122	138
47	125	136
48	128	133
49	131	131
50	132	127
51	135	124
52	138	122
53	139	118
54	142	116
55	145	114
56	147	111
57	148	107
58	151	105
59	154	102
60	157	100
61	159	97
62	162	95
63	163	92
64	165	89
65	167	86
66	170	83
67	172	81
68	175	78
69	177	76
70	179	73
71	181	70
72	183	67
73	186	65
74	188	62
75	191	60
76	192	57
77	194	54
78	195	52
79	197	49
80	199	46
81	201	44
82	203	41
83	206	39
84	207	36
85	209	34
86	210	31
87	213	29
88	216	26
89	219	24
90	221	21
91	224	19
92	225	16
93	227	14
94	229	12
95	231	9
96	234	7
97	236	4
98	239	2
99	240	0
